,month,pe,mkt,smb,vmg,alpha,beta_mkt,beta_smb,beta_vmg,r_squared,r_squared_adj,t_alpha
19,2008-08,"[-0.0242735468544813, -0.0410679402377749, -0.0046651486022743, -0.0530489951685687, -0.0197427531789144, 0.0108529502436493, -0.0045871615604527, -0.0218776954767772, -0.066379974538385, -0.0154020584937278]","[-0.1453680976844932, 0.1317298882370532, -0.1398961669171775, 0.0279281330168729, -0.1646270661245816, 0.0762655219164392, -0.0617213847595339, -0.2011687283788817, 0.0245223148694477, -0.1371299187434369]","[0.0727219005474608, 0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898]","[-0.0185473967748772, -0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907]",-0.026623453338698106,-0.03234606288590418,-0.1932587273746344,-0.0341223205085191,0.3882160738733713,0.08232411081005697,-3.05154648674923
20,2008-09,"[-0.0410679402377749, -0.0046651486022743, -0.0530489951685687, -0.0197427531789144, 0.0108529502436493, -0.0045871615604527, -0.0218776954767772, -0.066379974538385, -0.0154020584937278, -0.0434645639806031]","[0.1317298882370532, -0.1398961669171775, 0.0279281330168729, -0.1646270661245816, 0.0762655219164392, -0.0617213847595339, -0.2011687283788817, 0.0245223148694477, -0.1371299187434369, -0.034710828880859]","[0.0545039773543203, 0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359]","[-0.0981970400556824, -0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025]",-0.028317137147354753,-0.03847801143031176,-0.14716649887816202,0.03596442772434483,0.32292622225822964,-0.015610666612655422,-2.8367861390217133
21,2008-10,"[-0.0046651486022743, -0.0530489951685687, -0.0197427531789144, 0.0108529502436493, -0.0045871615604527, -0.0218776954767772, -0.066379974538385, -0.0154020584937278, -0.0434645639806031, -0.059223235331741]","[-0.1398961669171775, 0.0279281330168729, -0.1646270661245816, 0.0762655219164392, -0.0617213847595339, -0.2011687283788817, 0.0245223148694477, -0.1371299187434369, -0.034710828880859, -0.2411735213477631]","[0.0660841147781617, 0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972]","[-0.0771937390458531, -0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831]",-0.02837315389615921,0.021750677080081975,-0.16245566278920942,0.030771261369836905,0.20550002444713455,-0.19174996332929828,-2.296739768681807
22,2008-11,"[-0.0530489951685687, -0.0197427531789144, 0.0108529502436493, -0.0045871615604527, -0.0218776954767772, -0.066379974538385, -0.0154020584937278, -0.0434645639806031, -0.059223235331741, -0.0513745568801828]","[0.0279281330168729, -0.1646270661245816, 0.0762655219164392, -0.0617213847595339, -0.2011687283788817, 0.0245223148694477, -0.1371299187434369, -0.034710828880859, -0.2411735213477631, 0.111740002973239]","[0.0664787139235959, -0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536]","[-0.0286748418689444, -0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088]",-0.03416416731134822,0.07888715010626496,-0.32950875697279525,0.003913117281466802,0.5928685011102456,0.38930275166536843,-4.120003369177543
23,2008-12,"[-0.0197427531789144, 0.0108529502436493, -0.0045871615604527, -0.0218776954767772, -0.066379974538385, -0.0154020584937278, -0.0434645639806031, -0.059223235331741, -0.0513745568801828, 0.0225231780787257]","[-0.1646270661245816, 0.0762655219164392, -0.0617213847595339, -0.2011687283788817, 0.0245223148694477, -0.1371299187434369, -0.034710828880859, -0.2411735213477631, 0.111740002973239, -0.0068522202684895]","[-0.0432221496595171, -0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681]","[-0.0045735084241748, 0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692]",-0.01797799554896356,0.020953666287450295,-0.014293616735738257,0.20152912717864857,0.19581060584915366,-0.20628409122626956,-1.3626700916930201
24,2009-01,"[0.0108529502436493, -0.0045871615604527, -0.0218776954767772, -0.066379974538385, -0.0154020584937278, -0.0434645639806031, -0.059223235331741, -0.0513745568801828, 0.0225231780787257, -0.0137513245174839]","[0.0762655219164392, -0.0617213847595339, -0.2011687283788817, 0.0245223148694477, -0.1371299187434369, -0.034710828880859, -0.2411735213477631, 0.111740002973239, -0.0068522202684895, 0.1043938702996081]","[-0.0984263749916031, -0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462]","[0.1027494394653769, -0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391]",-0.018663221076155555,0.02358870001658863,-0.022215781735586568,0.19195408982158083,0.2051831787404591,-0.1922252318893114,-1.6268711876074637
25,2009-02,"[-0.0045871615604527, -0.0218776954767772, -0.066379974538385, -0.0154020584937278, -0.0434645639806031, -0.059223235331741, -0.0513745568801828, 0.0225231780787257, -0.0137513245174839, 0.0181993396256329]","[-0.0617213847595339, -0.2011687283788817, 0.0245223148694477, -0.1371299187434369, -0.034710828880859, -0.2411735213477631, 0.111740002973239, -0.0068522202684895, 0.1043938702996081, 0.0599146818700589]","[-0.0060439420186346, -0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149]","[-0.1033450980357417, -0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135]",-0.017467020616546106,0.06841645016449616,-0.057589081198696795,0.07220539104006074,0.04507836680580968,-0.4323824497912856,-0.9458385081035746
26,2009-03,"[-0.0218776954767772, -0.066379974538385, -0.0154020584937278, -0.0434645639806031, -0.059223235331741, -0.0513745568801828, 0.0225231780787257, -0.0137513245174839, 0.0181993396256329, -0.0074659303828339]","[-0.2011687283788817, 0.0245223148694477, -0.1371299187434369, -0.034710828880859, -0.2411735213477631, 0.111740002973239, -0.0068522202684895, 0.1043938702996081, 0.0599146818700589, 0.1601427993086351]","[-0.0579213799350082, 0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111]","[-0.0349223806925531, -0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451]",-0.014705494756283934,0.09924210517350554,-0.08626023372531116,0.16257563592482432,0.11939428792358697,-0.32090856811461954,-0.8489479212816088
27,2009-04,"[-0.066379974538385, -0.0154020584937278, -0.0434645639806031, -0.059223235331741, -0.0513745568801828, 0.0225231780787257, -0.0137513245174839, 0.0181993396256329, -0.0074659303828339, -0.0362387175184932]","[0.0245223148694477, -0.1371299187434369, -0.034710828880859, -0.2411735213477631, 0.111740002973239, -0.0068522202684895, 0.1043938702996081, 0.0599146818700589, 0.1601427993086351, 0.0545735484819486]","[0.0693183870341682, -0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312]","[-0.0192678222664743, 0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381]",-0.023020544495531526,0.09774937262631236,-0.06785406223447654,0.057222731315304476,0.09169637248015561,-0.3624554412797667,-1.5764525604114057
28,2009-05,"[-0.0154020584937278, -0.0434645639806031, -0.059223235331741, -0.0513745568801828, 0.0225231780787257, -0.0137513245174839, 0.0181993396256329, -0.0074659303828339, -0.0362387175184932, 0.0016520186800194]","[-0.1371299187434369, -0.034710828880859, -0.2411735213477631, 0.111740002973239, -0.0068522202684895, 0.1043938702996081, 0.0599146818700589, 0.1601427993086351, 0.0545735484819486, 0.0691050522166995]","[-0.1135653509065898, -0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312, 0.0033466052420127]","[0.0213226523415907, -0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381, -0.0233601191357245]",-0.016936480692937614,0.08353034679659513,0.005711893432896701,0.08371651452801922,0.14983287487272978,-0.2752506876909053,-1.3622820077329763
29,2009-06,"[-0.0434645639806031, -0.059223235331741, -0.0513745568801828, 0.0225231780787257, -0.0137513245174839, 0.0181993396256329, -0.0074659303828339, -0.0362387175184932, 0.0016520186800194, -0.0073156935850808]","[-0.034710828880859, -0.2411735213477631, 0.111740002973239, -0.0068522202684895, 0.1043938702996081, 0.0599146818700589, 0.1601427993086351, 0.0545735484819486, 0.0691050522166995, 0.1535162491060753]","[-0.0536359008238359, -0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312, 0.0033466052420127, -0.0380053551365634]","[-0.0851693727538025, -0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381, -0.0233601191357245, 0.0516487507436096]",-0.022186332708296615,0.08490098188373874,0.09386748125331643,0.03386844602765035,0.21151646211253883,-0.1827253068311918,-1.7431517002905683
30,2009-07,"[-0.059223235331741, -0.0513745568801828, 0.0225231780787257, -0.0137513245174839, 0.0181993396256329, -0.0074659303828339, -0.0362387175184932, 0.0016520186800194, -0.0073156935850808, 0.0560787699514443]","[-0.2411735213477631, 0.111740002973239, -0.0068522202684895, 0.1043938702996081, 0.0599146818700589, 0.1601427993086351, 0.0545735484819486, 0.0691050522166995, 0.1535162491060753, 0.1734004019946289]","[-0.0344952075498972, 0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312, 0.0033466052420127, -0.0380053551365634, -0.0718742578273867]","[-0.0521913793763831, -0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381, -0.0233601191357245, 0.0516487507436096, -0.1421515283955506]",-0.018705420836668457,0.13952244924522492,-0.14107464459259972,-0.13181233966306527,0.3685171145221744,0.05277567178326159,-1.2701004446761925
31,2009-08,"[-0.0513745568801828, 0.0225231780787257, -0.0137513245174839, 0.0181993396256329, -0.0074659303828339, -0.0362387175184932, 0.0016520186800194, -0.0073156935850808, 0.0560787699514443, -0.0069871720926397]","[0.111740002973239, -0.0068522202684895, 0.1043938702996081, 0.0599146818700589, 0.1601427993086351, 0.0545735484819486, 0.0691050522166995, 0.1535162491060753, 0.1734004019946289, -0.2043870795293113]","[0.0715603436721536, 0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312, 0.0033466052420127, -0.0380053551365634, -0.0718742578273867, 0.0700290498307535]","[-0.0909216348790088, -0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381, -0.0233601191357245, 0.0516487507436096, -0.1421515283955506, 0.036753210653119]",0.010151764664329857,-0.11321795499424377,-0.34514461001625474,-0.18645295808074222,0.4733494453436845,0.2100241680155268,0.7422205115911643
32,2009-09,"[0.0225231780787257, -0.0137513245174839, 0.0181993396256329, -0.0074659303828339, -0.0362387175184932, 0.0016520186800194, -0.0073156935850808, 0.0560787699514443, -0.0069871720926397, 0.0017338364239779]","[-0.0068522202684895, 0.1043938702996081, 0.0599146818700589, 0.1601427993086351, 0.0545735484819486, 0.0691050522166995, 0.1535162491060753, 0.1734004019946289, -0.2043870795293113, 0.0511542107709733]","[0.0863211187231681, 0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312, 0.0033466052420127, -0.0380053551365634, -0.0718742578273867, 0.0700290498307535, -0.0061307359685849]","[-0.0223130603746692, 0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381, -0.0233601191357245, 0.0516487507436096, -0.1421515283955506, 0.036753210653119, 0.0341727029645552]",0.0064071229364184995,-0.07028424717989276,-0.159801040911033,-0.29000121073668006,0.698886271278937,0.5483294069184055,0.8117536326964206
33,2009-10,"[-0.0137513245174839, 0.0181993396256329, -0.0074659303828339, -0.0362387175184932, 0.0016520186800194, -0.0073156935850808, 0.0560787699514443, -0.0069871720926397, 0.0017338364239779, -0.0214949727466849]","[0.1043938702996081, 0.0599146818700589, 0.1601427993086351, 0.0545735484819486, 0.0691050522166995, 0.1535162491060753, 0.1734004019946289, -0.2043870795293113, 0.0511542107709733, 0.0863372822809532]","[0.0848321881565462, 0.0121564397212149, 0.0365213711852111, 0.0335942265270312, 0.0033466052420127, -0.0380053551365634, -0.0718742578273867, 0.0700290498307535, -0.0061307359685849, 0.0410123606431124]","[0.0309818423202391, -0.0755758437769135, -0.0811740987336451, 0.0487299525072381, -0.0233601191357245, 0.0516487507436096, -0.1421515283955506, 0.036753210653119, 0.0341727029645552, -0.0118360056090305]",0.005351297080626487,-0.0748030148255597,-0.2936223269915172,-0.24624772401528414,0.8119487244155272,0.7179230866232909,0.8573658716876
34,2009-11,"[0.0181993396256329, -0.0074659303828339, -0.0362387175184932, 0.0016520186800194, -0.0073156935850808, 0.0560787699514443, -0.0069871720926397, 0.0017338364239779, -0.0214949727466849, -0.0028484856218064]","[0.0599146818700589, 0.1601427993086351, 0.0545735484819486, 0.0691050522166995, 0.1535162491060753, 0.1734004019946289, -0.2043870795293113, 0.0511542107709733, 0.0863372822809532, 0.0816023651919649]","[0.0121564397212149, 0.0365213711852111, 0.0335942265270312, 0.0033466052420127, -0.0380053551365634, -0.0718742578273867, 0.0700290498307535, -0.0061307359685849, 0.0410123606431124, 0.0652918254509563]","[-0.0755758437769135, -0.0811740987336451, 0.0487299525072381, -0.0233601191357245, 0.0516487507436096, -0.1421515283955506, 0.036753210653119, 0.0341727029645552, -0.0118360056090305, -0.0433368812068614]",0.007823440720317112,-0.12237782830532187,-0.40554215230198765,-0.29174247842869694,0.9266616263949512,0.8899924395924268,1.99503666947552
35,2009-12,"[-0.0074659303828339, -0.0362387175184932, 0.0016520186800194, -0.0073156935850808, 0.0560787699514443, -0.0069871720926397, 0.0017338364239779, -0.0214949727466849, -0.0028484856218064, -0.0132788850337294]","[0.1601427993086351, 0.0545735484819486, 0.0691050522166995, 0.1535162491060753, 0.1734004019946289, -0.2043870795293113, 0.0511542107709733, 0.0863372822809532, 0.0816023651919649, 0.0297446311441074]","[0.0365213711852111, 0.0335942265270312, 0.0033466052420127, -0.0380053551365634, -0.0718742578273867, 0.0700290498307535, -0.0061307359685849, 0.0410123606431124, 0.0652918254509563, 0.0047145019755575]","[-0.0811740987336451, 0.0487299525072381, -0.0233601191357245, 0.0516487507436096, -0.1421515283955506, 0.036753210653119, 0.0341727029645552, -0.0118360056090305, -0.0433368812068614, 0.0127490473053749]",0.005821275591853296,-0.1153903349344737,-0.38779713836154417,-0.2965434245932174,0.8996338339726746,0.8494507509590119,1.3472183571952654
36,2010-01,"[-0.0362387175184932, 0.0016520186800194, -0.0073156935850808, 0.0560787699514443, -0.0069871720926397, 0.0017338364239779, -0.0214949727466849, -0.0028484856218064, -0.0132788850337294, -0.0119017465284523]","[0.0545735484819486, 0.0691050522166995, 0.1535162491060753, 0.1734004019946289, -0.2043870795293113, 0.0511542107709733, 0.0863372822809532, 0.0816023651919649, 0.0297446311441074, -0.0798570762712709]","[0.0335942265270312, 0.0033466052420127, -0.0380053551365634, -0.0718742578273867, 0.0700290498307535, -0.0061307359685849, 0.0410123606431124, 0.0652918254509563, 0.0047145019755575, 0.0632007918802313]","[0.0487299525072381, -0.0233601191357245, 0.0516487507436096, -0.1421515283955506, 0.036753210653119, 0.0341727029645552, -0.0118360056090305, -0.0433368812068614, 0.0127490473053749, -0.0191984097925261]",0.004318690234415019,-0.0951213182857173,-0.36811067120942603,-0.29571557253124703,0.8973528404351943,0.8460292606527914,1.0105207345154381
37,2010-02,"[0.0016520186800194, -0.0073156935850808, 0.0560787699514443, -0.0069871720926397, 0.0017338364239779, -0.0214949727466849, -0.0028484856218064, -0.0132788850337294, -0.0119017465284523, -0.0166445045285013]","[0.0691050522166995, 0.1535162491060753, 0.1734004019946289, -0.2043870795293113, 0.0511542107709733, 0.0863372822809532, 0.0816023651919649, 0.0297446311441074, -0.0798570762712709, 0.0236506194575866]","[0.0033466052420127, -0.0380053551365634, -0.0718742578273867, 0.0700290498307535, -0.0061307359685849, 0.0410123606431124, 0.0652918254509563, 0.0047145019755575, 0.0632007918802313, 0.0443032683081705]","[-0.0233601191357245, 0.0516487507436096, -0.1421515283955506, 0.036753210653119, 0.0341727029645552, -0.0118360056090305, -0.0433368812068614, 0.0127490473053749, -0.0191984097925261, -0.0196365484249612]",0.004426498929212386,-0.08737978728798618,-0.3692071908610026,-0.2676777628938022,0.8811808945546381,0.8217713418319572,1.059586484877718
