,month,bm,cash,cashdebt,rd_sale
76,2013-05,0.03736834597701148,0.17979152758620692,0.13633992873563222,
77,2013-06,-0.15887376,-0.06649774235294115,-0.07445589999999999,
78,2013-07,-0.026050581395348833,0.10110068139534885,0.10581502906976742,
79,2013-08,0.06729166976744186,0.050181982558139535,0.033035784883720935,
80,2013-09,-0.013751917441860467,0.12562834186046512,0.09674691395348838,
81,2013-10,0.008184981176470587,-0.054410320000000005,-0.04430437058823529,
82,2013-11,0.0018933790697674424,0.1244861081395349,0.10735066744186048,
83,2013-12,-0.04338658255813954,-0.020749460465116283,-0.003676805813953486,
84,2014-01,-0.08669876627906979,0.11480919613739642,0.07821095697674418,
85,2014-02,-0.008392169879518074,0.0027080228915662627,-0.006893046987951807,
86,2014-03,0.02556581855742297,-0.0640994287815126,-0.041356272408963585,
